size,density,method,time
16,1.0,torch_matmul,1.1280147979656856e-05
16,1.0,torch_spmm,6.315379093090693e-05
16,1.0,ge_spmm,5.953324337800344e-05
16,0.5,torch_matmul,1.1999656756718953e-05
16,0.5,torch_spmm,9.98725804189841e-05
16,0.5,ge_spmm,7.536842798193296e-05
16,0.25,torch_matmul,1.952362557252248e-05
16,0.25,torch_spmm,0.00012408190717299778
16,0.25,ge_spmm,8.356155206759771e-05
16,0.125,torch_matmul,1.4506156245867411e-05
16,0.125,torch_spmm,9.132511913776398e-05
16,0.125,ge_spmm,5.8819415668646496e-05
16,0.0625,torch_matmul,1.1018943041563034e-05
16,0.0625,torch_spmm,8.60217958688736e-05
16,0.0625,ge_spmm,5.8416090905666354e-05
16,0.03125,torch_matmul,1.0837800800800323e-05
16,0.03125,torch_spmm,8.613870789607366e-05
16,0.03125,ge_spmm,4.788758233189583e-05
16,0.015625,torch_matmul,1.0745382557312647e-05
16,0.015625,torch_spmm,6.863605231046676e-05
16,0.015625,ge_spmm,4.886357734600703e-05
16,0.0078125,torch_matmul,1.2097321450710296e-05
16,0.0078125,torch_spmm,0.00017080139368772507
16,0.0078125,ge_spmm,7.696716735760371e-05
16,0.00390625,torch_matmul,7.711273307601611e-05
16,0.00390625,torch_spmm,8.048092325528463e-05
16,0.00390625,ge_spmm,4.365518689155579e-05
32,1.0,torch_matmul,1.048560564716657e-05
32,1.0,torch_spmm,8.769988392790159e-05
32,1.0,ge_spmm,5.918570483724276e-05
32,0.5,torch_matmul,1.0645606865485509e-05
32,0.5,torch_spmm,0.00011504249026377996
32,0.5,ge_spmm,4.804221292336782e-05
32,0.25,torch_matmul,1.1171152194341023e-05
32,0.25,torch_spmm,8.670308937629064e-05
32,0.25,ge_spmm,4.7968638439973196e-05
32,0.125,torch_matmul,1.107584685087204e-05
32,0.125,torch_spmm,8.65185633301735e-05
32,0.125,ge_spmm,8.144428332646688e-05
32,0.0625,torch_matmul,1.72371044754982e-05
32,0.0625,torch_spmm,8.495651806394259e-05
32,0.0625,ge_spmm,6.694073478380839e-05
32,0.03125,torch_matmul,1.0543906440337498e-05
32,0.03125,torch_spmm,8.580998207132021e-05
32,0.03125,ge_spmm,4.9435533583164215e-05
32,0.015625,torch_matmul,1.0787229984998704e-05
32,0.015625,torch_spmm,8.664789299170176e-05
32,0.015625,ge_spmm,0.0005600813776254654
32,0.0078125,torch_matmul,1.0838763167460759e-05
32,0.0078125,torch_spmm,8.670038854082425e-05
32,0.0078125,ge_spmm,5.793695648511251e-05
32,0.00390625,torch_matmul,1.0989761600891748e-05
32,0.00390625,torch_spmm,0.00011950597787896792
32,0.00390625,ge_spmm,7.749802122513453e-05
64,1.0,torch_matmul,1.2432007739941279e-05
64,1.0,torch_spmm,8.94961878657341e-05
64,1.0,ge_spmm,5.8904445419708885e-05
64,0.5,torch_matmul,2.1265012522538505e-05
64,0.5,torch_spmm,8.694551264246305e-05
64,0.5,ge_spmm,5.931289245684941e-05
64,0.25,torch_matmul,1.0505660126606623e-05
64,0.25,torch_spmm,8.763894438743592e-05
64,0.25,ge_spmm,5.873081584771474e-05
64,0.125,torch_matmul,1.1063398172458013e-05
64,0.125,torch_spmm,7.080954189101855e-05
64,0.125,ge_spmm,4.807900016506513e-05
64,0.0625,torch_matmul,1.1106239010890325e-05
64,0.0625,torch_spmm,9.054495021700859e-05
64,0.0625,ge_spmm,4.8016322155793506e-05
64,0.03125,torch_matmul,1.1419691145420074e-05
64,0.03125,torch_spmm,6.948346272110939e-05
64,0.03125,ge_spmm,8.107724909981092e-05
64,0.015625,torch_matmul,1.1086029311021169e-05
64,0.015625,torch_spmm,8.675381541252136e-05
64,0.015625,ge_spmm,5.917778859535853e-05
64,0.0078125,torch_matmul,1.0526335487763088e-05
64,0.0078125,torch_spmm,0.00010476643219590188
64,0.0078125,ge_spmm,6.680501004060109e-05
64,0.00390625,torch_matmul,1.0890110085407892e-05
64,0.00390625,torch_spmm,0.00010114867861072222
64,0.00390625,ge_spmm,7.008292401830355e-05
128,1.0,torch_matmul,3.212631369630496e-05
128,1.0,torch_spmm,8.739444116751353e-05
128,1.0,ge_spmm,4.8502255231142045e-05
128,0.5,torch_matmul,1.0780679682890574e-05
128,0.5,torch_spmm,8.70000571012497e-05
128,0.5,ge_spmm,5.8943405747413635e-05
128,0.25,torch_matmul,8.041563754280408e-05
128,0.25,torch_spmm,8.691425124804178e-05
128,0.25,ge_spmm,4.95865320165952e-05
128,0.125,torch_matmul,1.1009816080331803e-05
128,0.125,torch_spmm,7.154634222388268e-05
128,0.125,ge_spmm,4.967491452892621e-05
128,0.0625,torch_matmul,1.1418946087360382e-05
128,0.0625,torch_spmm,9.059744576613108e-05
128,0.0625,ge_spmm,5.051887904604276e-05
128,0.03125,torch_matmul,1.080331082145373e-05
128,0.03125,torch_spmm,8.742778251568477e-05
128,0.03125,ge_spmm,4.998700072367986e-05
128,0.015625,torch_matmul,1.0788751145203909e-05
