size,density,method,time
16,1.0,torch_matmul,9.501011421283086e-06
16,1.0,torch_spmm,6.551674256722132e-05
16,1.0,sputnik,0.00011475843687852224
16,0.5,torch_matmul,1.4913765092690785e-05
16,0.5,torch_spmm,7.371880734960238e-05
16,0.5,sputnik,5.037514492869377e-05
16,0.25,torch_matmul,8.989994724591572e-06
16,0.25,torch_spmm,6.002594406406085e-05
16,0.25,sputnik,5.030380561947823e-05
16,0.125,torch_matmul,8.832849562168122e-06
16,0.125,torch_spmm,6.274450570344924e-05
16,0.125,sputnik,4.953372602661451e-05
16,0.0625,torch_matmul,8.840238054593404e-06
16,0.0625,torch_spmm,6.079239149888357e-05
16,0.0625,sputnik,5.050310865044594e-05
16,0.03125,torch_matmul,1.6999058425426482e-05
16,0.03125,torch_spmm,6.192599733670553e-05
16,0.03125,sputnik,4.765431707104047e-05
16,0.015625,torch_matmul,8.62997646133105e-06
16,0.015625,torch_spmm,8.661247168978055e-05
16,0.015625,sputnik,4.87485279639562e-05
16,0.0078125,torch_matmul,1.4165323227643966e-05
16,0.0078125,torch_spmm,9.031929075717927e-05
16,0.0078125,sputnik,4.9921466658512754e-05
16,0.00390625,torch_matmul,8.672320594390234e-06
16,0.00390625,torch_spmm,6.068730726838112e-05
16,0.00390625,sputnik,6.843619048595429e-05
32,1.0,torch_matmul,1.1786166578531265e-05
32,1.0,torch_spmm,7.850176965196927e-05
32,1.0,sputnik,5.9324999650319414e-05
32,0.5,torch_matmul,1.1483331521352132e-05
32,0.5,torch_spmm,6.088707596063614e-05
32,0.5,sputnik,5.1659904420375825e-05
32,0.25,torch_matmul,1.1181458830833435e-05
32,0.25,torch_spmm,6.171163792411486e-05
32,0.25,sputnik,4.9671903252601626e-05
32,0.125,torch_matmul,1.0733834157387416e-05
32,0.125,torch_spmm,6.266226992011071e-05
32,0.125,sputnik,5.076505864659945e-05
32,0.0625,torch_matmul,1.256500060359637e-05
32,0.0625,torch_spmm,7.958688462773958e-05
32,0.0625,sputnik,5.231167500217755e-05
32,0.03125,torch_matmul,1.1658420165379842e-05
32,0.03125,torch_spmm,8.936962112784385e-05
32,0.03125,sputnik,5.3062755614519117e-05
32,0.015625,torch_matmul,1.143328845500946e-05
32,0.015625,torch_spmm,0.0001016000285744667
32,0.015625,sputnik,6.299049903949102e-05
32,0.0078125,torch_matmul,1.315884292125702e-05
32,0.0078125,torch_spmm,7.68758977452914e-05
32,0.0078125,sputnik,6.082387020190557e-05
32,0.00390625,torch_matmul,1.1723705877860387e-05
32,0.00390625,torch_spmm,7.675789917508762e-05
32,0.00390625,sputnik,5.0990314533313116e-05
64,1.0,torch_matmul,1.1359155178070068e-05
64,1.0,torch_spmm,0.00013201165323456127
64,1.0,sputnik,9.374882405002913e-05
64,0.5,torch_matmul,1.1400381724039714e-05
64,0.5,torch_spmm,8.167040844758352e-05
64,0.5,sputnik,6.966417034467061e-05
64,0.25,torch_matmul,1.1738482862710953e-05
64,0.25,torch_spmm,5.9924181550741194e-05
64,0.25,sputnik,5.233284706870715e-05
64,0.125,torch_matmul,1.1921115219593049e-05
64,0.125,torch_spmm,7.495305811365446e-05
64,0.125,sputnik,5.909353494644165e-05
64,0.0625,torch_matmul,9.289694329102834e-06
64,0.0625,torch_spmm,7.140068337321281e-05
64,0.0625,sputnik,6.639678031206131e-05
64,0.03125,torch_matmul,1.967990150054296e-05
64,0.03125,torch_spmm,0.0001149440494676431
64,0.03125,sputnik,5.923475449283918e-05
64,0.015625,torch_matmul,1.10638327896595e-05
64,0.015625,torch_spmm,0.0001426367089152336
64,0.015625,sputnik,0.0001039127508799235
64,0.0078125,torch_matmul,1.2215754638115566e-05
64,0.0078125,torch_spmm,7.644801711042722e-05
64,0.0078125,sputnik,5.773964027563731e-05
64,0.00390625,torch_matmul,1.1276639997959138e-05
64,0.00390625,torch_spmm,7.739821448922157e-05
64,0.00390625,sputnik,6.151047224799792e-05
128,1.0,torch_matmul,1.1408142745494842e-05
128,1.0,torch_spmm,7.802570859591166e-05
128,1.0,sputnik,6.027069563666979e-05
128,0.5,torch_matmul,1.0905694216489792e-05
128,0.5,torch_spmm,7.833115135629972e-05
128,0.5,sputnik,4.789552961786588e-05
128,0.25,torch_matmul,1.710361490646998e-05
128,0.25,torch_spmm,6.392958263556163e-05
128,0.25,sputnik,5.0265341997146606e-05
128,0.125,torch_matmul,1.7976916084686914e-05
128,0.125,torch_spmm,0.00013668959339459738
128,0.125,sputnik,6.999770800272623e-05
128,0.0625,torch_matmul,2.0063016563653946e-05
128,0.0625,torch_spmm,8.590674648682277e-05
128,0.0625,sputnik,5.925397078196208e-05
128,0.03125,torch_matmul,1.1149514466524125e-05
128,0.03125,torch_spmm,6.459057331085206e-05
128,0.03125,sputnik,5.0957904507716495e-05
128,0.015625,torch_matmul,1.7369848986466726e-05
128,0.015625,torch_spmm,5.8003980666399005e-05
128,0.015625,sputnik,5.223766590158145e-05
128,0.0078125,torch_matmul,1.7192307859659194e-05
128,0.0078125,torch_spmm,8.806924646099408e-05
